Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.237550735473633,24.70532029541843,23.79860048379208,24.69423503534699,212818400
2015-01-05,23.554737091064453,24.0867973730431,23.368516922627084,24.006988246177652,257142000
2015-01-06,23.556955337524414,23.816334163580667,23.195596863475707,23.619028729260297,263188400
2015-01-07,23.88728141784668,23.98704200939966,23.654504449058404,23.76535030250549,160423600
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887466,24.215381460812253,237458000
2015-01-09,24.83168601989746,25.106583234710648,24.432640311803063,24.97800165194986,214798000
2015-01-12,24.219823837280273,24.969141348019626,24.120063225712865,24.96249086609831,198603200
2015-01-13,24.434856414794922,25.006821335803178,24.144440865044796,24.703103135568583,268367600
2015-01-14,24.34174919128418,24.49471531323738,24.053549306454705,24.173263026705097,195826400
2015-01-15,23.681102752685547,24.399383248375585,23.645632967050208,24.38608229018397,240056000
2015-01-16,23.497102737426758,23.849593418861012,23.321966091998515,23.7276623076852,314053200
2015-01-20,24.10231590270996,24.157738813931655,23.610160180441635,23.907226172730866,199599600
2015-01-21,24.286319732666016,24.621072889818013,24.00255301394987,24.15330339614755,194303600
2015-01-22,24.918142318725586,24.933660666894788,24.324008616661335,24.443722313126493,215185600
2015-01-23,25.046720504760742,25.217422311588972,24.725266634096982,24.895970132298086,185859200
2015-01-26,25.073328018188477,25.352660001314483,25.006821530740638,25.21521055439176,222460000
2015-01-27,24.195425033569336,24.935875977807996,24.171038818283535,24.922573329505678,382274800
2015-01-28,25.563262939453125,26.186217609496115,25.563262939453125,26.077587486100576,585908400
2015-01-29,26.35914421081543,26.423435008591323,25.61869303244263,25.78717920277347,337745600
2015-01-30,25.97340202331543,26.603005679197125,25.90467644184349,26.248299275082537,334982000
2015-02-02,26.299283981323242,26.41899769418198,25.73397119942588,26.17070408947349,250956400
2015-02-03,26.303714752197266,26.401257928588027,26.07315523199289,26.27046066624386,207662800
2015-02-04,26.50545883178711,26.7160669593945,26.228344209703778,26.27046617349994,280598800
2015-02-05,26.69463348388672,26.7591779894096,26.541062015640957,26.71243751799283,168984800
2015-02-06,26.469844818115234,26.763632651229667,26.363012106960742,26.71244158799873,174826400
2015-02-09,26.645673751831055,26.672380657208517,26.358562632684485,26.385271236110356,155559200
2015-02-10,27.15757942199707,27.186514170623198,26.743607052759444,26.745831496462507,248034000
2015-02-11,27.79412269592285,27.803025565706395,27.26441467916801,27.32450692764593,294247200
2015-02-12,28.145771026611328,28.372789901407252,27.947686895532566,28.056744050182502,297898000
2015-02-13,28.283761978149414,28.32827461584955,27.965491694253423,28.32827461584955,217088800
2015-02-17,28.4506893157959,28.684384928549473,28.248152891669676,28.375015787666307,252609600
2015-02-18,28.648771286010742,28.66212473782531,28.36611077024827,28.406172823740263,179566800
2015-02-19,28.58867835998535,28.71776739221714,28.56197145541902,28.595355086126933,149449600
2015-02-20,28.822378158569336,28.822378158569336,28.499657229063484,28.62651844031598,195793600
2015-02-23,29.601356506347656,29.601356506347656,28.85798490989806,28.93810901824031,283896400
2015-02-24,29.416629791259766,29.73490182419154,29.194063171007127,29.58800703976149,276912400
2015-02-25,28.664356231689453,29.289771346310374,28.521913717136407,29.280866778846,298846800
2015-02-26,29.027143478393555,29.127297796480146,28.179165044577232,28.664358734733383,365150000
2015-02-27,28.59090805053711,29.060523730781554,28.54194312493081,28.933659133684255,248059200
2015-03-02,28.731121063232422,28.995975855853946,28.555294946670976,28.76673253365645,192386800
2015-03-03,28.791217803955078,28.826829277853392,28.50855724854495,28.702192515306365,151265200
2015-03-04,28.60870933532715,28.835728218754888,28.55974780762392,28.733349484334305,126665200
2015-03-05,28.134647369384766,28.65545244734505,27.98997872615739,28.61761652931516,226068400
2015-03-06,28.17693328857422,28.7934420686846,28.101261454083147,28.577552179150562,291368400
2015-03-09,28.297117233276367,28.83795583428651,27.834178300278573,28.479621776355522,354114000
2015-03-10,27.711767196655273,28.31492246485523,27.553745118097947,28.13464406642544,275426400
2015-03-11,27.206539154052734,27.769632348191667,27.1776061090033,27.765181763587254,275756000
2015-03-12,27.698413848876953,27.79856984189361,27.070776078556776,27.2221214408066,193450800
2015-03-13,27.507009506225586,27.90985626880816,27.282218428274447,27.687289634604028,207309200
2015-03-16,27.809696197509766,27.809696197509766,27.346758956585212,27.571550001661393,143497200
2015-03-17,28.274864196777344,28.337182579986006,27.965496724385353,28.021138380542887,204092400
2015-03-18,28.593128204345703,28.7466996846989,28.125738735762134,28.265955066922743,261083600
2015-03-19,28.377241134643555,28.76673267962886,28.354984814539783,28.65544938106163,183238000
2015-03-20,28.021133422851562,28.577548187933573,27.856434625218515,28.544164558584388,274780400
2015-03-23,28.312702178955078,28.45514469325615,28.159130653391948,28.292671996341824,150838800
2015-03-24,28.19696044921875,28.497423293342283,28.168025707185222,28.31714660569711,131369200
2015-03-25,27.46027374267578,28.225903592078875,27.46027374267578,28.163585199322597,206620800
2015-03-26,27.65167236328125,27.794114843477228,27.286663295523013,27.322274764596163,190291600
2015-03-27,27.43132781982422,27.754048644367636,27.355656006418805,27.72511560360346,158184800
2015-03-30,28.125741958618164,28.13241868495542,27.598258503345505,27.60938751260654,188398800
2015-03-31,27.6939640045166,28.152450688573246,27.67838440937046,28.06342370286021,168362400
2015-04-01,27.653902053833008,27.84753562116134,27.397950105676763,27.780764957103703,162485600
2015-04-02,27.892044067382812,27.945459571760715,27.64054444030727,27.82749955465406,128880400
2015-04-06,28.343854904174805,28.37946637364715,27.67170454934332,27.702863736107464,148776000
2015-04-07,28.045616149902344,28.51523008704785,28.038939423968984,28.408399076017474,140049200
2015-04-08,27.95436668395996,28.132420656323127,27.814150326906724,28.010008338067387,149316800
2015-04-09,28.16802978515625,28.172482068289785,27.745154582088954,28.010007694885584,129936000
2015-04-10,28.28821563720703,28.312698100017467,27.878693892102373,28.032263697492386,160752000
2015-04-13,28.232576370239258,28.615392939431228,28.179160855071164,28.570876897035358,145460400
2015-04-14,28.11016273498535,28.330503197261073,28.023361895360114,28.265958678402846,102098400
2015-04-15,28.216991424560547,28.294889389838783,28.045615900948434,28.13464287471568,115881600
2015-04-16,28.08123016357422,28.28821718902274,28.067876709689976,28.105712627727698,113476000
2015-04-17,27.765188217163086,28.074555709550506,27.700643688082796,27.94324220759483,207828000
2015-04-20,28.399497985839844,28.515231871372787,27.858661076767103,27.947688056895437,188217200
2015-04-21,28.24593162536621,28.533041081720025,28.192514411955095,28.51078645653832,129740400
2015-04-22,28.626514434814453,28.682156083705696,28.11461228384406,28.263731495340977,150618000
2015-04-23,28.860214233398438,29.027139204330012,28.519687564385798,28.555299039914537,183083600
2015-04-24,28.995969772338867,29.073869423035564,28.76227421634481,29.042710241976092,178103600
2015-04-27,29.523454666137695,29.630289066787313,29.189604805324546,29.447782846083186,387816800
2015-04-28,29.05829429626465,29.944108399445852,28.837955539227018,29.926306060290624,475696000
2015-04-29,28.63096809387207,29.28753890312954,28.55529626280579,28.969270286299476,253544400
2015-04-30,27.854209899902344,28.63096684646575,27.727347007781397,28.63096684646575,332781600
2015-05-01,28.699960708618164,28.962591047195207,27.88759402467133,28.06564627540629,234050400
2015-05-04,28.644323348999023,29.06052523824225,28.5463934927065,28.822377324431148,203953200
2015-05-05,27.99888038635254,28.58868054797657,27.994428103218496,28.521909885353836,197085600
2015-05-06,27.82305335998535,28.21031879941125,27.455818101093367,28.168030598663822,288564000
2015-05-07,27.995145797729492,28.17841268755224,27.718009170082315,27.885631387791218,175763600
2015-05-08,28.522592544555664,28.522592544555664,28.185112723632656,28.312505520185685,222201600
2015-05-11,28.232053756713867,28.509188703141405,28.07784075746508,28.471194739748423,168143200
2015-05-12,28.131479263305664,28.357209293536233,27.896807471517413,28.071134308781183,192640000
2015-05-13,28.162769317626953,28.42649502055542,28.131479971952515,28.194058663301394,138776800
2015-05-14,28.819847106933594,28.819847106933594,28.41979023179081,28.47566430660467,180814000
2015-05-15,28.779613494873047,28.940531070085896,28.654456138659093,28.846663052925432,152832000
2015-05-18,29.096986770629883,29.21543954872697,28.68798809123903,28.69245897256814,203531600
2015-05-19,29.07016372680664,29.25119517387914,28.974058549918123,29.208730333645796,178532800
2015-05-20,29.067928314208984,29.273544501554046,28.907010704933214,29.054519081816487,145819600
2015-05-21,29.365169525146484,29.418809848051335,29.01651595196952,29.07015627487437,158921600
2015-05-22,29.62220001220703,29.718305200753246,29.367414350183818,29.412116341293565,182384000
2015-05-26,28.969589233398438,29.704893968093028,28.85784108371209,29.635610660932755,282790400
2015-05-27,29.510440826416016,29.559610270034735,29.065685509521913,29.130497915956493,183332800
2015-05-28,29.45233726501465,29.49033122049038,29.300361443111733,29.470217375288346,122933200
2015-05-29,29.11709213256836,29.378582344414525,29.03216246349136,29.329412894978606,203538000
2015-06-01,29.17520523071289,29.36517844806299,29.06569422731027,29.117097420954007,128451200
2015-06-02,29.04557991027832,29.202026634245364,28.902542418325194,29.023228916733252,134670400
2015-06-03,29.08133316040039,29.264601736210718,29.032163708855297,29.20202305429558,123934000
2015-06-04,28.911479949951172,29.184145694113607,28.81090730241516,28.960649406130152,153800400
2015-06-05,28.75278663635254,28.985224609230976,28.68797423466008,28.942759782823476,142507200
2015-06-08,28.562829971313477,28.877960596493892,28.346038271178,28.808673873642665,210699200
2015-06-09,28.477895736694336,28.625404100730464,28.075603453683758,28.316978141433584,224301600
2015-06-10,28.804203033447266,28.90700941739929,28.574000421733558,28.58964509387513,156349200
2015-06-11,28.739389419555664,29.094747730712573,28.714804689270927,28.871251422772424,141563600
